,MDS_x,MDS_y,Entity,Code,Continent,tsne_x,tsne_y,scluster6,kmeans6
525,-4.748859048363637,-1.3522363444171235,Central African Republic,CAF,Africa,-10.015038,-12.737114,4,4
540,-1.3324973546363834,2.8794584820486966,Central America,,,1.1505196,-3.2110386,0,2
555,-7.604136669389451,-1.5751998437933938,Chad,TCD,Africa,-14.048732,-11.877227,4,4
570,7.554025164017668,-6.91585248898069,Channel Islands,OWID_CIS,,16.732038,17.671188,5,5
585,2.771283283437671,0.24421918565024556,Chile,CHL,South America,6.7775884,5.900645,3,3
600,2.946594161971345,1.8675942611590468,China,CHN,Asia,5.126931,6.3763094,3,3
615,0.3866894462019702,2.7921507033308846,Colombia,COL,South America,3.5393198,-0.3887801,0,2
630,-5.347579988524729,0.2905413388499649,Comoros,COM,Africa,-9.945264,-10.510913,4,4
645,-4.428056118646341,-0.24487962923093892,Congo,COG,Africa,-8.925623,-11.009226,4,4
660,1.1145310554909738,2.385908696517176,Costa Rica,CRI,North America,4.320944,0.9662326,0,2
675,-6.629805799451515,1.3825556152259142,Cote d'Ivoire,CIV,Africa,-11.86262,-8.3213005,4,4
690,7.478203516540917,-4.121833180126117,Croatia,HRV,Europe,14.889469,14.812282,2,5
705,4.686844312295614,0.07258546580502162,Cuba,CUB,North America,7.904973,8.556883,3,3
720,4.392034184052024,0.8143440806942498,Curacao,CUW,North America,6.8830523,8.20734,3,3
735,4.745981646652318,-1.5752386156172002,Cyprus,CYP,Asia,10.197525,10.360335,2,1
750,6.9637540521440755,-5.5681043776764305,Czechia,CZE,Europe,15.007583,16.75135,5,5
